code|state_fips|county_fips|period|civilian|employed|unemployed|rate|county|state|state_code
CN483350|48|335|Apr-12|3551|3338|213|6.0|mitchell|texas|TX
CN483370|48|337|Apr-12|10715|10206|509|4.8|montague|texas|TX
PA481800|48|339|Apr-12|235085|221735|13350|5.7|montgomery|texas|TX
CN483410|48|341|Apr-12|12086|11616|470|3.9|moore|texas|TX
CN483430|48|343|Apr-12|6113|5547|566|9.3|morris|texas|TX
CN483450|48|345|Apr-12|663|633|30|4.5|motley|texas|TX
CN483470|48|347|Apr-12|32000|30187|1813|5.7|nacogdoches|texas|TX
CN483490|48|349|Apr-12|21718|20058|1660|7.6|navarro|texas|TX
CN483510|48|351|Apr-12|5694|5040|654|11.5|newton|texas|TX
CN483530|48|353|Apr-12|7962|7540|422|5.3|nolan|texas|TX
CN483550|48|355|Apr-12|180726|169983|10743|5.9|nueces|texas|TX
CN483570|48|357|Apr-12|6092|5903|189|3.1|ochiltree|texas|TX
CN483590|48|359|Apr-12|1059|1019|40|3.8|oldham|texas|TX
PA480250|48|361|Apr-12|40837|37303|3534|8.7|orange|texas|TX
CN483630|48|363|Apr-12|14487|13626|861|5.9|palo pinto|texas|TX
CN483650|48|365|Apr-12|14517|13729|788|5.4|panola|texas|TX
CN483670|48|367|Apr-12|57304|53875|3429|6.0|parker|texas|TX
CN483690|48|369|Apr-12|4676|4485|191|4.1|parmer|texas|TX
CN483710|48|371|Apr-12|9048|8662|386|4.3|pecos|texas|TX
CN483730|48|373|Apr-12|18307|16836|1471|8.0|polk|texas|TX
CN483750|48|375|Apr-12|59122|56094|3028|5.1|potter|texas|TX
CN483770|48|377|Apr-12|4029|3592|437|10.8|presidio|texas|TX
CN483790|48|379|Apr-12|5140|4779|361|7.0|rains|texas|TX
CN483810|48|381|Apr-12|74106|71256|2850|3.8|randall|texas|TX
CN483830|48|383|Apr-12|2748|2685|63|2.3|reagan|texas|TX
CN483850|48|385|Apr-12|1467|1375|92|6.3|real|texas|TX
CN483870|48|387|Apr-12|5725|5162|563|9.8|red river|texas|TX
