"country","age","sex","height","weight","hungry","fruit","vegetables","teeth","hands_eating","hands_toilet","hands_soap","sample_weight","bmi"
"aeh","13","Female",1.49,37,"Never","2","<1",NA,NA,"Never","Rarely",21.9745,16.665915949732
"aeh","12","Female",NA,NA,"Never","<1","<1","4+","Always","Always","Always",21.9745,NA
"aeh","12","Female",NA,NA,"Never","<1","<1","2","Always","Always","Always",21.9745,NA
"aeh","15","Female",1.54,45,"Sometimes","2","0","4+","Always","Always","Always",21.9745,18.9745319615449
"aeh","14","Female",NA,NA,"Never","3","1","2","Always","Always","Always",21.9745,NA
"aeh","15","Female",1.55,66,"Sometimes","<1","<1","4+","Always","Always","Always",21.9745,27.471383975026
"aeh","12","Female",1.53,74,"Most of the time","<1","2","3","Always","Always","Always",21.9745,31.6117732496049
"aeh","13","Female",1.5,37,"Never","<1","<1","<1","Always","Always","Always",21.9745,16.4444444444444
"aeh","14","Female",1.54,43,"Never","<1","1","<1","Always","Always","Always",21.9745,18.1312194299207
"aeh","13","Female",1.47,45,"Sometimes","<1","<1","2","Always","Always","Most of the time",21.9745,20.8246563931695
"aeh","13","Female",1.43,39,"Never","<1","<1","<1","Always","Always","Rarely",21.9745,19.0718372536554
"aeh","13","Female",1.58,47,"Rarely",NA,"<1","4+","Always","Always","Always",21.9745,18.8271110398974
"aeh","15","Female",1.57,47,"Most of the time","1","0","<1","Always","Most of the time","Sometimes",21.9745,19.0677106576332
"aeh","13","Female",1.56,67,"Rarely","<1","5+","4+","Always","Always","Most of the time",21.9745,27.5312294543064
"aeh","11-","Female",1.49,43,"Never","1","1","4+","Always","Always","Always",21.9745,19.3684969145534
"aeh","13","Female",1.52,74,"Rarely","2","2","2","Always","Always","Always",21.9745,32.0290858725762
"aeh","12","Female",1.57,56,"Most of the time","<1","<1","<1","Most of the time","Most of the time","Most of the time",21.9745,22.7189744005842
"aeh","13","Female",NA,NA,"Never","1","1","3","Always","Always","Always",21.9745,NA
"aeh","13","Female",1.55,41,"Sometimes","0","<1","<1","Sometimes","Always","Always",21.9745,17.0655567117586
"aeh","13","Female",1.41,30,"Sometimes","<1","<1","<1","Always","Always","Always",21.9745,15.0897842160857
"aeh","12","Female",1.56,52,"Most of the time","5+","5+","3","Always","Always","Always",21.9745,21.3675213675214
"aeh","15","Female",1.56,52,"Never","0","<1","4+","Always","Sometimes","Always",21.9745,21.3675213675214
"aeh","13","Female",1.57,41,"Rarely","<1","<1","<1","Always","Always","Always",21.9745,16.6335348289991
"aeh","13","Female",1.52,43,"Never","<1","<1","<1","Always","Always","Most of the time",21.9745,18.6114958448753
"aeh","13","Female",1.47,49,"Most of the time","<1","0","<1","Always","Always","Most of the time",21.9745,22.6757369614512
"aeh","12","Female",1.54,40,"Rarely","<1","5+","4+","Always","Always","Always",21.9745,16.8662506324844
"aeh","12","Female",1.49,35,"Never","<1","1","<1","Always","Sometimes","Always",17.8543,15.7650556281249
"aeh","13","Female",1.63,83,"Never","<1","<1","<1","Always","Always","Always",17.8543,31.2394143550755
"aeh","14","Female",1.47,50,"Never","5+","0","3","Always","Always","Always",17.8543,23.1385071035217
"aeh","12","Female",1.57,51,"Never","<1","2","1","Most of the time","Always","Always",17.8543,20.6904945433892
"aeh","13","Female",1.64,59,"Never","<1","<1","1","Rarely","Always","Always",17.8543,21.9363474122546
"aeh","13","Female",1.61,88,"Never","1","3","1","Most of the time","Always","Always",17.8543,33.9493075112843
"aeh","12","Female",1.54,62,"Never","<1","1","2","Always","Always","Always",17.8543,26.1426884803508
"aeh","12","Female",1.43,28,"Rarely","<1","<1","1","Rarely","Always","Sometimes",17.8543,13.6926011051885
"aeh","13","Female",1.62,47,"Never","1","1","<1","Sometimes","Most of the time","Sometimes",17.8543,17.9088553574150
"aeh","12","Female",1.61,58,"Rarely","<1","<1","<1","Always","Most of the time","Always",17.8543,22.3756799506192
"aeh","12","Female",1.55,51,"Never","<1","2","<1","Always","Always","Most of the time",17.8543,21.2278876170656
"aeh",NA,"Female",NA,NA,"Never","<1","<1","2","Most of the time","Always","Always",17.8543,NA
"aeh","12","Female",1.43,33,"Rarely","<1","<1","<1","Always","Always","Always",17.8543,16.1377084454008
"aeh","13","Female",1.59,69,"Rarely","<1","<1","2","Sometimes","Most of the time","Most of the time",17.8543,27.2932241604367
"aeh","13","Female",1.52,40,"Never","3","0","2","Always","Always","Always",17.8543,17.3130193905817
"aeh","13","Female",1.56,46,"Most of the time","<1","2","<1","Always","Always","Most of the time",17.8543,18.9020381328074
"aeh","12","Female",1.64,69,"Rarely","<1","1","2","Rarely","Rarely","Most of the time",17.8543,25.6543723973825
"aeh","12","Female",1.61,59,"Never","<1","2","<1","Never","Most of the time","Most of the time",17.8543,22.7614675359747
"aeh","13","Female",1.72,52,"Rarely","<1","1","3","Always","Always","Always",17.8543,17.5770686857761
"aeh","12","Female",1.45,34,"Sometimes","<1","<1","<1","Always","Always","Always",17.8543,16.1712247324614
"aeh","13","Female",1.45,45,"Sometimes","0","<1","1","Most of the time","Always","Most of the time",17.8543,21.4030915576694
"aeh","13","Female",1.65,61,"Never","3","2","4+","Always","Always","Always",17.8543,22.4058769513315
"aeh","11-","Female",1.64,59,"Never","4","4","<1","Always","Always","Always",17.8543,21.9363474122546
"aeh","13","Female",NA,NA,"Most of the time","2","<1","2","Most of the time","Always","Always",17.8543,NA
"aeh",NA,"Male",NA,NA,"Rarely","<1","<1",NA,NA,NA,NA,10.0327,NA
"aeh","14","Female",1.47,40,"Rarely","0","<1","1","Always","Most of the time","Most of the time",17.8543,18.5108056828173
"aeh","13","Female",1.56,42,"Never","5+","5+","4+","Most of the time","Sometimes","Rarely",17.8543,17.2583826429980
"aeh","14","Female",1.62,82,"Never","1","<1","1","Always","Sometimes","Always",17.8543,31.2452370065539
"aeh","13","Female",1.38,30,"Sometimes","<1","<1","1","Always","Always","Always",17.8543,15.7529930686831
"aeh","12","Female",1.68,81,"Sometimes","<1","<1","0","Never","Rarely","Never",17.8543,28.6989795918367
"aeh","16+","Female",1.58,64,"Never","<1","0","4+","Always","Always","Always",37.2851,25.6369171607114
"aeh","15","Female",1.6,44,"Rarely","<1","<1","4+","Sometimes","Always","Always",37.2851,17.1875
"aeh","16+","Female",1.62,53,"Never","0","<1","<1","Sometimes","Always","Always",37.2851,20.1950922115531
"aeh","16+","Female",1.53,49,"Rarely","2","3","2","Most of the time","Always","Always",37.2851,20.9321201247383
"aeh","15","Female",1.55,50,"Never","<1","<1","1","Most of the time","Most of the time","Most of the time",37.2851,20.8116545265349
"aeh","16+","Female",1.68,78,"Never","<1","<1","1","Always","Always","Always",37.2851,27.6360544217687
"aeh","15","Female",1.53,41,"Rarely","5+","5+","3","Always","Always","Always",37.2851,17.5146311247811
"aeh","14","Female",1.58,46,"Rarely","<1","0","1","Always","Always","Always",37.2851,18.4265342092613
"aeh","16+","Female",1.63,82,"Never","<1","<1","1","Always","Always","Always",37.2851,30.8630358688697
"aeh","15","Female",1.62,40,"Never","<1","1","<1","Sometimes","Always","Most of the time",37.2851,15.2415790275873
"aeh","15","Female",1.59,102,"Sometimes","0","0","<1","Most of the time","Always","Always",37.2851,40.3465052806455
"aeh","15","Female",1.54,74,"Sometimes","2","1","2","Always","Always","Most of the time",37.2851,31.2025636700961
"aeh","15","Female",1.53,66,"Sometimes","<1","1","2","Always","Always","Always",37.2851,28.1942842496476
"aeh","16+","Female",1.7,84,"Never","<1","<1","1","Always","Always","Always",37.2851,29.0657439446367
"aeh","16+","Female",1.62,69,"Never","<1","<1","<1","Always","Always","Always",37.2851,26.291723822588
"aeh","15","Female",1.47,45,"Sometimes","<1","0","<1","Sometimes","Always","Always",37.2851,20.8246563931695
"aeh","15","Female",1.56,45,"Never","<1","0","4+","Always","Most of the time","Always",37.2851,18.4911242603550
"aeh","16+","Female",1.62,43,"Rarely","<1","5+","4+","Always","Always","Always",37.2851,16.3846974546563
"aeh","16+","Female",1.59,79,"Rarely","2","1","3","Always","Always","Sometimes",37.2851,31.2487638938333
"aeh","16+","Female",1.64,62,"Rarely","3","<1","1","Rarely","Always","Sometimes",37.2851,23.051754907793
"aeh","15","Female",1.53,53,"Never","0","0","4+","Always","Always","Always",37.2851,22.640864624717
"aeh","15","Female",1.57,67,"Never","<1","<1","1","Always","Always",NA,37.2851,27.1816300864132
"aeh","16+","Female",1.53,73,"Rarely","<1","<1","2","Always","Always","Always",37.2851,31.1845871246102
"aeh","16+","Male",1.62,51,"Never","<1","0","1","Always","Always","Most of the time",34.0888,19.4330132601738
"aeh","16+","Female",1.54,50,"Never","1","2","3","Always","Always","Always",37.2851,21.0828132906055
"aeh","16+","Female",1.52,56,"Rarely","2","<1","4+","Always","Always","Always",37.2851,24.2382271468144
"aeh","16+","Female",1.41,33,"Always","1","0","4+","Always","Always","Always",33.8773,16.5987626376943
"aeh","16+","Female",1.67,98,"Rarely","<1","0","2","Always","Sometimes","Always",33.8773,35.1393022338556
"aeh","16+","Female",1.48,50,"Sometimes","<1","<1","1","Most of the time","Always","Always",33.8773,22.8268809349890
"aeh","15","Female",1.57,47,"Rarely","<1","<1","<1","Most of the time","Always","Always",33.8773,19.0677106576332
"aeh","15","Female",1.56,66,"Rarely","5+","<1","1","Sometimes","Sometimes","Sometimes",33.8773,27.1203155818540
"aeh","16+","Female",1.5,39,"Rarely","1","0","1","Always","Never","Most of the time",33.8773,17.3333333333333
"aeh","16+","Female",1.55,38,"Sometimes","<1","1","2","Always","Always","Always",33.8773,15.8168574401665
"aeh","16+","Female",1.53,45,"Never","<1","<1","2","Always","Always","Most of the time",33.8773,19.2233756247597
"aeh","16+","Female",1.54,56,"Always","1","1","2","Always","Always","Rarely",33.8773,23.6127508854782
"aeh","15","Female",1.57,52,"Never","0","0","3",NA,"Always","Always",33.8773,21.0961905148282
"aeh","15","Female",1.55,50,"Never","<1","<1","2","Always",NA,NA,33.8773,20.8116545265349
"aeh","16+","Female",1.55,40,"Sometimes","<1","<1","1","Most of the time","Most of the time","Always",33.8773,16.6493236212279
"aeh",NA,"Female",NA,NA,"Most of the time","1","5+","1","Always","Always","Always",33.8773,NA
"aeh","16+","Female",1.53,44,"Never","<1","<1","2","Always","Always","Most of the time",33.8773,18.7961894997650
"aeh","15","Female",1.56,88,"Rarely","<1","<1","2","Always","Always","Always",33.8773,36.1604207758054
"aeh","15","Male",1.56,46,"Never","0","<1","3","Most of the time","Most of the time","Most of the time",30.9732,18.9020381328074
"aeh","16+","Female",1.58,55,"Never","<1","<1","3","Always","Always","Always",33.8773,22.0317256849864
"aeh","16+","Female",1.56,39,"Sometimes","<1","<1","2","Always","Always","Always",33.8773,16.0256410256410
"aeh","16+","Female",1.49,52,"Never","<1","<1","1","Always","Always","Most of the time",33.8773,23.4223683617855
"aeh","15","Female",1.45,44,"Rarely","5+","5+","4+","Rarely","Never","Most of the time",33.8773,20.9274673008323
"aeh","15","Female",1.5,47,"Rarely","1","5+","<1","Always","Always","Most of the time",33.8773,20.8888888888889
